stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Desktop\Jogos\Pong CodeBlocks\ProjetoPong\bin\Debug\allegro5.cfg r
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00225] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00242] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00655] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.09724] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.09861] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.09872] al_display=00000000007f9e10
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.09879] al_display->vt=00000000007f9ca0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.11778] found 96 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.11796] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11807] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11813] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11820] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11833] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11863] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.11882] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11892] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11898] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11906] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11912] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11919] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.11925] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11931] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11937] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11943] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11949] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11955] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.11961] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11968] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12052] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12065] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12071] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12078] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12083] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12090] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12095] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12102] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12116] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12126] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12132] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12139] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12144] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12151] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12157] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12163] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12169] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12175] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12181] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12187] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12193] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12200] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12206] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12212] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12218] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12224] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12230] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12236] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12242] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12253] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12275] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12282] Single Buffer requirement not met.
